,log_return,ad,wr,cmf,atr,rsi,cci,adx,slope,k_values,d_values,macd,signal,divergence,gdp,inflation,real_interest_rate,roe,eps,p/e,psei_returns
216,0.008474626990972236,604564.3478260799252164804522,0.03092783505154750940934097667,0.3320800490543770802727740215,2.0926,58.6507,128.9264,15.5606,0.0215,65.6357,49.3741,0.808,0.856,-0.0481,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.55184550130853,0.004360002230483007
217,0.00840341079637938,1346395.272727266479622895448,0.02654867256637266078409815786,0.2659618321186842472899785003,2.1395,60.6166,141.1418,14.656,0.0925,92.4104,68.3545,0.9634,0.8775,0.0859,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,86.27380200342928,0.00657410243734187
218,-0.036755135941523145,-1548786.206896539255659045919,0.6990291262135903576966159598,0.2423573444282308850071083705,2.2367,49.6531,30.4569,13.9779,-0.0211,74.7831,77.6097,0.7989,0.8618,-0.0629,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,83.16036458803357,-0.029320384187343892
219,-0.012008877942215368,-770589.0000000048669903662812,0.9690721649484553300429775035,0.2205794949828493399033545358,2.1591,46.7498,-110.8443,13.9813,-0.0788,43.5117,70.2351,0.5732,0.8041,-0.2308,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,82.16767439761753,-0.011488487614101834
220,0.020114839646176042,1338830,0.5876288659793809599879361394,0.2322356321918875589818650277,2.1406,51.8492,-49.7985,13.3648,-0.03,24.809,47.7013,0.5374,0.7507,-0.2133,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,83.83719880877177,0.007094230636602267
221,-0.0010770060276380602,594304.7619047635134435481870,0.6082474226804136700324216254,0.1710896825804817936381370587,2.1377,51.5617,-29.5871,12.4962,-0.0351,27.8351,32.0519,0.4953,0.6997,-0.2043,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,83.74695424600667,-0.0008295173193003962
222,-0.0032379952737753384,-424691.8604651151562354738976,0.6701030927835059400196037735,0.2069933104573766467949903551,2.1386,50.6545,-5.2833,11.9043,-0.0462,37.8007,30.1482,0.4327,0.6463,-0.2135,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,83.47622055771139,-0.010557231212482353
223,0.02350535567365303,986580.3370786540068846563146,0.2164948453608244099917060958,0.2542104289531622056920962854,2.3037,56.6748,76.8848,12.2409,0.0393,50.1718,38.6025,0.5543,0.6279,-0.0736,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.46160093854346,0.018310575751710866
224,0.0021097054238496567,932228.7234042625349539129933,0.1752577319587619199758722787,0.3150219137900639574371253763,2.307,57.1862,127.5519,12.5534,0.1473,64.6048,50.8591,0.6591,0.6341,0.025,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.64209006407364,-0.007729352233700948
225,0.0005267316424125866,240872.5806451754240216709126,0.1649484536082470299901981132,0.2505074622943153939320228126,2.2529,57.3218,135.68,12.929,0.1729,81.4433,65.4066,0.7377,0.6548,0.0829,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.68721234545619,0.01810295283118979
226,0.013078920413365993,2332312.500000008286038521988,0.05357142857142811827631647953,0.2240046218953954735006323514,2.2063,60.6756,179.9455,13.7753,0.2085,86.8741,77.6407,0.8906,0.702,0.1886,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,86.81526938001986,0.012755218763153166
227,-0.013605652055778598,-857187.6923076860608360210027,0.2857142857142849892421063672,0.1966101060652159749718644590,2.1558,55.7673,114.6154,14.3839,0.197,83.1922,83.8365,0.8966,0.7409,0.1557,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.64209006407364,-0.006371044036724381
228,-0.0021097054238497065,-102922.1428571365888073466281,0.3272727272727267559689194472,0.1937125558937300606907428458,2.1018,55.0298,76.2279,14.3809,0.1309,77.7814,82.6159,0.8751,0.7678,0.1073,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.46160093854346,-0.005179101639053334
229,0.003162891408508217,692013.6363636338093233123892,0.2727272727272727272727272727,0.1340956342050229941750622172,2.0303,55.9704,70.1706,14.378,0.1588,70.4762,77.1499,0.8722,0.7886,0.0836,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.73233462683872,0.016492923511357564
230,-0.007395701961129025,-54596.66666666356320547492942,0.4000000000000005167583532801,0.09996892417192685488445324162,1.9924,53.1755,44.9612,13.9275,0.1887,66.6667,71.6414,0.8041,0.7917,0.0124,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.10062268748307,-0.01128627912596013
231,0.0073957019611289926,982920,0.2727272727272727272727272727,0.2347510854366755695807853018,1.9501,55.5651,50.9209,13.5091,0.2671,68.4848,68.5426,0.7975,0.7929,0.0046,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.73233462683872,-0.003070173615721695
232,-0.0031628914085081953,528968.5714285642694328404958,0.3272727272727267559689194472,0.2702580134711361815281176565,1.8679,54.2864,49.6859,13.1206,0.2259,66.6667,67.2727,0.7593,0.7862,-0.0269,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.46160093854346,0.0074645287694737866
233,-0.011683616708486281,-644972.7272727346792838161943,0.5272727272727283062439792874,0.2441890838335892163213428486,1.8202,49.7645,4.6325,12.2825,0.1058,62.4242,65.8586,0.6329,0.7555,-0.1226,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,84.46891074812741,-0.0056207421925631345
234,0.013793322132335988,1188051.515151519772535379548,0.2935779816513749506897807254,0.2976704184252231516735732005,1.8081,54.5797,28.8346,11.632,0.0726,61.7292,63.6067,0.6304,0.7305,-0.1001,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.64209006407364,0.00489243351660797
235,0.0010531859846586405,1087535.999999989696789270965,0.2752293577981649940827736870,0.3042395300415165464039282972,1.8218,54.9375,40.4838,11.4336,0.0302,63.464,62.5392,0.6293,0.7103,-0.081,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.73233462683872,-0.004758698057554903
236,0.0,1014746.190476203402048793870,0.2752293577981649940827736870,0.3140802796987981547928270676,1.7666,54.9375,48.1253,11.2494,-0.0318,71.8654,65.6862,0.6212,0.6924,-0.0713,361489325230.731,2.6352,0.0,0.07650579805957082,1.2536,85.73233462683872,0.002741079960897994
