Date,Open,High,Low,Close,Volume,Change %
Aug-29-2017,47.950,48.050,47.700,47.950,1810000,-0.10
Aug-30-2017,48.000,48.600,48.000,48.300,3630000,0.73
Aug-31-2017,48.300,48.400,47.900,48.050,205900,-0.52
Sep-04-2017,48.050,48.500,48.050,48.200,979700,0.31
Sep-05-2017,48.200,48.550,47.600,48.550,1670000,0.73
Sep-06-2017,48.500,48.900,48.000,48.900,1600000,0.72
Sep-07-2017,48.950,51.200,48.950,50.500,6450000,3.27
Sep-08-2017,51.800,52.800,51.050,51.150,1950000,1.29
Sep-11-2017,51.100,52.000,51.100,51.700,1550000,1.08
Sep-13-2017,51.700,52.000,51.200,51.700,2049999,0.00
Sep-14-2017,51.750,51.900,51.200,51.650,3100000,-0.10
Sep-15-2017,51.600,51.600,50.900,51.250,1530000,-0.77
Sep-18-2017,51.250,51.500,50.800,51.500,1640000,0.49
Sep-19-2017,51.600,51.600,50.850,51.000,1020000,-0.97
Sep-20-2017,51.000,52.450,51.000,52.000,1510000,1.96
Sep-21-2017,52.450,53.800,52.400,53.500,2350000,2.88
Sep-22-2017,53.600,53.900,52.500,52.500,601500,-1.87
Sep-25-2017,52.500,52.500,51.000,51.000,1480000,-2.86
Sep-26-2017,51.000,51.000,49.000,50.200,2200000,-1.57
Sep-27-2017,50.400,51.700,49.700,51.700,1950000,2.99
Sep-28-2017,51.000,52.400,50.800,51.950,3390000,0.48
Sep-29-2017,52.500,52.550,52.000,52.150,1230000,0.38
Oct-02-2017,52.500,53.000,52.200,52.500,1250000,0.67
Oct-03-2017,53.000,54.900,52.350,54.900,3700000,4.57
Oct-04-2017,54.900,55.100,53.950,54.900,2390000,0.00
Oct-05-2017,54.900,55.000,53.800,54.000,2580000,-1.64
Oct-06-2017,54.900,54.900,54.300,54.550,1540000,1.02
Oct-09-2017,54.500,54.500,53.900,53.900,1730000,-1.19
Oct-10-2017,54.150,55.100,53.750,53.950,2049999,0.09
Oct-11-2017,53.950,54.000,53.100,53.800,1830000,-0.28
Oct-12-2017,53.800,54.800,52.100,52.700,3600000,-2.04
Oct-13-2017,52.600,53.600,52.500,52.800,2930000,0.19
Oct-17-2017,52.800,53.750,52.150,52.200,2250000,-1.14
Oct-18-2017,52.200,52.350,51.200,51.600,2060000,-1.15
Oct-19-2017,51.600,51.900,51.200,51.750,1300000,0.29
Oct-20-2017,51.750,51.750,50.900,50.900,2620000,-1.64
Oct-23-2017,50.900,51.500,50.550,50.850,844700,-0.10
Oct-24-2017,50.850,51.100,50.800,51.000,2140000,0.29
Oct-25-2017,51.000,51.200,50.850,50.950,3290000,-0.10
Oct-26-2017,51.000,51.200,50.000,50.400,2760000,-1.08
Oct-27-2017,50.350,51.700,50.350,51.000,1870000,1.19
Oct-30-2017,51.550,51.700,50.700,51.000,3440000,0.00
Nov-02-2017,51.000,52.100,51.000,52.000,3220000,1.96
Nov-03-2017,52.000,52.000,51.100,51.100,2760000,-1.73
Nov-06-2017,52.000,52.000,51.100,51.400,1730000,0.59
Nov-07-2017,51.400,52.000,51.150,51.250,564360,-0.29
Nov-08-2017,51.250,51.300,51.000,51.100,1660000,-0.29
Nov-09-2017,51.000,51.650,50.850,50.900,1750000,-0.39
Nov-10-2017,50.850,51.000,50.600,50.950,766160,0.10
Nov-13-2017,50.950,51.000,50.550,50.800,2800000,-0.29
Nov-14-2017,51.000,51.000,48.950,49.100,4070000,-3.35
Nov-15-2017,49.000,49.000,48.100,48.600,7120000,-1.02
Nov-16-2017,48.650,50.000,48.500,49.500,3030000,1.85
Nov-17-2017,49.300,49.300,47.300,47.850,6520000,-3.33
Nov-20-2017,47.850,48.000,47.500,47.650,1490000,-0.42
Nov-21-2017,47.750,49.050,47.250,49.050,5120000,2.94
Nov-22-2017,49.050,49.050,47.050,47.300,2880000,-3.57
Nov-23-2017,47.400,48.250,47.400,48.050,1320000,1.59
Nov-24-2017,48.050,48.150,47.950,48.050,2190000,0.00
Nov-27-2017,48.050,49.300,48.050,49.200,406800,2.39
Nov-28-2017,49.200,49.400,48.400,48.400,1140000,-1.63
Nov-29-2017,48.550,49.800,48.550,49.000,9750000,1.24
Dec-01-2017,49.050,49.100,47.950,48.000,406600,-2.04
Dec-04-2017,47.950,48.250,47.600,48.000,7270000,0.00
Dec-05-2017,48.000,49.200,47.950,49.200,2340000,2.50
Dec-06-2017,49.000,49.400,48.150,49.300,1390000,0.20
Dec-07-2017,49.300,49.450,48.600,49.300,756500,0.00
Dec-08-2017,49.300,49.400,49.200,49.300,1460000,0.00
Dec-11-2017,49.400,50.500,49.300,50.500,598600,2.43
Dec-12-2017,50.297,50.297,49.301,49.799,165970,-1.39
Dec-13-2017,49.799,50.048,49.550,49.849,789240,0.10
Dec-14-2017,49.849,49.849,48.853,49.400,723790,-0.90
Dec-15-2017,48.902,49.351,48.902,49.002,1560000,-0.81
Dec-18-2017,49.002,49.351,49.002,49.301,716800,0.61
Dec-19-2017,49.301,49.898,49.301,49.898,639300,1.21
Dec-20-2017,50.048,50.297,49.301,49.301,1130000,-1.20
Dec-21-2017,49.301,49.898,49.301,49.799,962100,1.01
Dec-22-2017,49.998,49.998,49.500,49.500,182400,-0.60
Dec-27-2017,49.700,51.200,49.600,51.000,585000,3.03
Dec-28-2017,51.000,51.100,49.800,50.600,145080,-0.78
Dec-29-2017,50.600,50.800,50.000,50.000,2190000,-1.19
Jan-03-2018,50.100,50.500,49.250,49.250,4099999,-1.50
Jan-04-2018,49.300,50.000,49.300,49.350,3210000,0.20
Jan-05-2018,49.050,50.000,49.050,49.500,1180000,0.30
Jan-08-2018,49.600,50.350,49.600,50.350,2110000,1.72
Jan-09-2018,50.500,54.000,50.500,53.950,4550000,7.15
Jan-10-2018,53.800,53.900,53.000,53.800,2089999,-0.28
Jan-11-2018,53.800,53.950,53.300,53.650,3190000,-0.28
Jan-12-2018,53.600,54.250,53.000,53.500,1050000,-0.28
Jan-15-2018,53.550,55.050,53.550,54.000,2040000,0.93
Jan-16-2018,54.000,54.150,53.700,53.750,2080000,-0.46
Jan-17-2018,54.000,54.200,53.500,53.850,2300000,0.19
Jan-18-2018,54.000,54.000,53.400,53.750,2080000,-0.19
Jan-19-2018,53.750,54.000,53.050,53.100,1570000,-1.21
Jan-22-2018,53.100,54.000,52.300,54.000,1210000,1.69
Jan-23-2018,54.000,54.000,53.700,53.950,1790000,-0.09
Jan-24-2018,54.000,54.400,53.700,53.950,991950,0.00
Jan-25-2018,53.950,55.000,53.900,53.950,2570000,0.00
Jan-26-2018,53.950,54.150,53.700,54.000,2660000,0.09
Jan-29-2018,53.950,54.000,53.600,54.000,185200,0.00
Jan-30-2018,54.000,54.000,52.900,53.750,902170,-0.46
Jan-31-2018,53.700,53.700,52.300,53.300,918860,-0.84
Feb-01-2018,54.300,54.500,52.500,53.000,1200000,-0.56
Feb-02-2018,53.000,53.800,52.850,53.000,1030000,0.00
Feb-05-2018,52.850,52.850,51.000,52.500,567770,-0.94
Feb-06-2018,51.550,51.550,50.500,51.350,3280000,-2.19
Feb-07-2018,51.350,52.900,51.350,51.350,863260,0.00
Feb-08-2018,52.900,52.900,50.000,50.800,2049999,-1.07
Feb-09-2018,50.000,50.800,49.500,50.100,1260000,-1.38
Feb-12-2018,50.100,50.750,50.000,50.000,754150,-0.20
Feb-13-2018,50.500,50.500,49.950,50.200,2280000,0.40
Feb-14-2018,50.300,51.000,50.000,50.950,1660000,1.49
Feb-15-2018,51.000,51.000,50.500,51.000,161120,0.10
Feb-19-2018,51.000,51.350,50.950,51.000,2940000,0.00
Feb-20-2018,51.000,51.100,50.800,51.000,647260,0.00
Feb-21-2018,51.000,51.500,50.950,51.000,542100,0.00
Feb-22-2018,51.150,51.500,50.400,50.500,2110000,-0.98
Feb-23-2018,50.400,50.500,49.000,49.000,2250000,-2.97
Feb-26-2018,49.000,50.250,48.850,49.500,2720000,1.02
Feb-27-2018,49.500,51.450,49.500,51.050,2130000,3.13
Feb-28-2018,50.450,52.150,50.000,51.900,1360000,1.67
Mar-01-2018,51.500,52.700,51.500,52.200,1520000,0.58
Mar-02-2018,52.200,52.500,51.400,52.200,1660000,0.00
Mar-05-2018,52.200,52.300,51.650,52.000,442410,-0.38
Mar-06-2018,52.100,53.600,52.100,53.150,3430000,2.21
Mar-07-2018,53.150,53.200,52.000,52.750,987410,-0.75
Mar-08-2018,52.800,53.950,52.800,53.950,2029999,2.27
Mar-09-2018,53.950,53.950,53.150,53.250,327490,-1.30
Mar-12-2018,53.950,53.950,53.600,53.850,997450,1.13
Mar-13-2018,53.900,54.000,53.500,53.800,1730000,-0.09
Mar-14-2018,54.000,54.000,53.100,53.100,846200,-1.30
Mar-15-2018,53.850,53.850,53.000,53.150,631040,0.09
Mar-16-2018,53.100,53.300,52.850,53.000,2330000,-0.28
Mar-19-2018,53.300,53.450,53.150,53.350,1000000,0.66
Mar-20-2018,53.450,53.450,52.800,53.000,1340000,-0.66
Mar-21-2018,53.000,53.700,52.200,52.600,1420000,-0.75
Mar-22-2018,52.600,53.250,52.250,53.000,1560000,0.76
Mar-23-2018,53.000,53.000,52.450,52.800,891740,-0.38
Mar-26-2018,52.750,52.750,50.100,52.000,481040,-1.52
Mar-27-2018,52.500,52.500,50.600,52.200,1110000,0.38
Mar-28-2018,53.000,53.000,51.950,52.450,1520000,0.48
Apr-02-2018,52.500,52.900,51.100,52.900,94020,0.86
Apr-03-2018,51.550,52.250,51.550,51.600,455270,-2.46
Apr-04-2018,52.000,52.250,51.500,52.000,1620000,0.78
Apr-05-2018,52.250,52.300,51.250,52.000,480450,0.00
Apr-06-2018,52.000,52.050,51.250,52.000,225640,0.00
Apr-10-2018,52.000,52.100,51.300,52.000,594310,0.00
Apr-11-2018,52.000,52.100,51.650,51.950,1240000,-0.10
Apr-12-2018,52.200,53.000,51.950,53.000,1330000,2.02
Apr-13-2018,53.000,53.000,52.300,52.750,1180000,-0.47
Apr-16-2018,51.750,53.000,51.500,51.950,1660000,-1.52
Apr-17-2018,51.400,51.400,46.100,47.200,14370000,-9.14
Apr-18-2018,47.950,48.250,46.800,48.050,9110000,1.80
Apr-19-2018,48.050,48.050,47.000,47.950,2770000,-0.21
Apr-20-2018,47.050,48.450,47.050,48.000,1610000,0.10
Apr-23-2018,48.200,48.200,47.050,47.950,975900,-0.10
Apr-24-2018,47.500,48.200,47.100,48.000,4530000,0.10
Apr-25-2018,47.500,47.900,45.900,47.000,2200000,-2.08
Apr-26-2018,47.000,47.550,46.550,47.400,1000000,0.85
Apr-27-2018,47.400,48.100,47.100,47.500,3570000,0.21
Apr-30-2018,47.300,47.500,47.200,47.400,691800,-0.21
May-02-2018,47.300,47.500,46.400,47.000,385000,-0.84
May-03-2018,46.500,46.500,45.600,46.000,25400000,-2.13
May-04-2018,46.000,46.100,45.700,45.850,894000,-0.33
May-07-2018,45.850,46.950,45.700,46.950,451800,2.40
May-08-2018,46.950,47.000,46.100,47.000,187200,0.11
May-09-2018,47.000,47.000,46.000,46.600,207900,-0.85
May-10-2018,45.800,46.950,45.800,46.150,681800,-0.97
May-11-2018,46.000,46.750,46.000,46.600,213000,0.98
May-15-2018,46.250,48.000,46.000,47.500,1100000,1.93
May-16-2018,47.800,47.800,46.000,47.500,201100,0.00
May-17-2018,47.900,47.900,47.350,47.550,224800,0.11
May-18-2018,47.500,47.900,46.000,47.900,401900,0.74
May-21-2018,47.000,47.900,47.000,47.800,417100,-0.21
May-22-2018,47.600,47.900,47.500,47.650,579200,-0.31
May-23-2018,47.650,47.700,47.000,47.700,842300,0.10
May-24-2018,47.500,47.650,46.800,46.950,745200,-1.57
May-25-2018,46.950,47.700,46.850,47.700,397100,1.60
May-28-2018,47.000,47.500,46.950,47.500,135600,-0.42
May-29-2018,47.300,47.700,46.700,47.500,204300,0.00
May-30-2018,46.850,47.500,46.600,47.000,979000,-1.05
May-31-2018,47.000,47.000,46.350,46.700,434400,-0.64
Jun-01-2018,46.900,47.000,46.100,46.750,233700,0.11
Jun-04-2018,47.000,47.100,46.750,47.000,997600,0.53
Jun-05-2018,47.000,47.500,46.600,47.500,117100,1.06
Jun-06-2018,47.000,47.600,47.000,47.500,400800,0.00
Jun-07-2018,47.500,47.750,47.150,47.700,455800,0.42
Jun-08-2018,47.700,47.950,47.700,47.900,645900,0.42
Jun-11-2018,48.000,48.000,47.500,48.000,302400,0.21
Jun-13-2018,48.000,49.000,47.900,48.350,1780000,0.73
Jun-14-2018,48.850,48.850,47.200,48.000,755300,-0.72
Jun-18-2018,47.950,48.000,47.250,48.000,750800,0.00
Jun-19-2018,47.250,47.900,47.200,47.700,1870000,-0.62
Jun-20-2018,47.750,48.200,47.750,47.850,1020000,0.31
Jun-21-2018,47.200,47.900,47.200,47.900,259600,0.10
Jun-22-2018,47.900,47.900,47.100,47.500,2850000,-0.84
